,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
0,ABB India Limited,ABB,ABB India Limited,Active,A ,2.00,INE117A01022,Capital ods,Equity,Industrials,Capital ods,Electrical Equipment,Heavy Electrical Equipment,
1,Aegis Logistics Ltd.,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,1.00,INE208C01025,Oil- Gas & Consumable Fuels,Equity,Energy,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas,
2,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.00,INE885A01032,Automobile and Auto Components,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,
3,"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X ,10.00,INE432A01017,Healthcare,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
4,Housing Development Finance Corp.Lt,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2.00,INE001A01036,Financial Services,Equity,Financial Services,Financial Services,Finance,Housing Finance Company,
5,"Andhra Petrochemicals Ltd.,",ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,B ,10.00,INE714B01016,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
6,Ansal Properties & Infrastructure Ltd.,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,B ,5.00,INE436A01026,Realty,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
7,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Active,X ,10.00,INE096A01010,Financial Services,Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
8,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.00,INE957C01019,Consumer Services,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,
9,"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,A ,2.00,INE032A01023,Textiles,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
10,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10.00,INE363A01022,Consumer Services,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,
11,"Atul Limited.,",ATUL,ATUL LTD.,Active,A ,10.00,INE100A01010,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
12,ATV Projects India Ltd,ATVPR,ATV PROJECTS INDIA LTD.,Active,XT,10.00,INE447A01015,Capital ods,Equity,Industrials,Capital ods,Industrial Manufacturing,Industrial Equipments,
13,"Bajaj Electricals Ltd.,",BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A ,2.00,INE193E01025,Consumer Durables,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,
14,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,A ,1.00,INE306A01021,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Agricultural Food & other Products,Sugar,
15,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,Active,A ,10.00,INE451A01017,Automobile and Auto Components,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,
16,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,Active,A ,2.00,INE296A01024,Financial Services,Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
17,Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,1.00,INE119A01028,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Agricultural Food & other Products,Sugar,
18,"Banco Products (India) Ltd.,",BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.00,INE213C01025,Automobile and Auto Components,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
19,"Century Textiles & Industries Ltd.,",CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Active,A ,10.00,INE055A01016,Forest Materials,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,
20,"Bannari Amman Sugars Ltd.,",BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,A ,10.00,INE459A01010,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Agricultural Food & other Products,Sugar,
21,BASF India Ltd,BASF,BASF INDIA LTD.,Active,A ,10.00,INE373A01013,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
22,Bata India Limited,BATAINDIA,BATA INDIA LTD.,Active,A ,5.00,INE176A01028,Consumer Durables,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,
23,BEML Ltd,BEML,BEML LTD.,Active,A ,10.00,INE258A01016,Capital ods,Equity,Industrials,Capital ods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,
24,"Bharat Electronics Ltd.,",BEL,BHARAT ELECTRONICS LTD.,Active,A ,1.00,INE263A01024,Capital ods,Equity,Industrials,Capital ods,Aerospace & Defense,Aerospace & Defense,
25,"Bhansali Engineering Polymers Ltd.,",BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,A ,1.00,INE922A01025,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
26,Bihar Sponge Iron Ltd,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,XT,10.00,INE819C01011,Metals & Mining,Equity,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron,
27,Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,Active,B ,10.00,INE800A01015,Telecommunication,Equity,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,
28,Blue Star Ltd,BLUESTARCO,BLUE STAR LTD.,Active,A ,2.00,INE472A01039,Consumer Durables,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Air Conditioner,
29,Disa India Ltd.,DISAQ,DISA INDIA LTD.,Active,X ,10.00,INE131C01011,Capital ods,Equity,Industrials,Capital ods,Industrial Manufacturing,Industrial Machinery,
30,QUEST CAPITAL MARKETS LIMITED,QUESTCAP,Quest Capital Markets Ltd,Active,X ,10.00,INE418C01012,Financial Services,Equity,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services,
31,"BPL Ltd.,",BPL,BPL LTD.,Active,B ,10.00,INE110A01019,Consumer Durables,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,
32,ORIENTAL AROMATICS LIMITED,OAL,Oriental Aromatics Ltd-$,Active,B ,5.00,INE959C01023,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
33,"Century Extrusions Ltd.,",CENTEXT,CENTURY EXTRUSIONS LTD.,Active,B ,1.00,INE281A01026,Capital ods,Equity,Industrials,Capital ods,IN070205,"Aluminium, Copper & Zinc Products",
34,"CESC Limited,",CESC,CESC LTD.,Active,A ,1.00,INE486A01021,Power,Equity,Utilities,Power,Power,Electric Utilities,
35,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Active,A ,10.00,INE085A01013,Chemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,
36,"Exide Industries Ltd.,",EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,1.00,INE302A01020,Automobile and Auto Components,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,
37,"Cipla Ltd.,",CIPLA,CIPLA LTD.,Active,A ,2.00,INE059A01026,Healthcare,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
38,DIC India Ltd,DICIND,DIC INDIA LTD.,Active,B ,10.00,INE303A01010,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Printing Inks,
39,CRISIL Ltd.,CRISIL,CRISIL LTD.,Active,A ,1.00,INE007A01025,Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
40,CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,Active,B ,2.00,INE067A01029,Capital ods,Equity,Industrials,Capital ods,Electrical Equipment,Heavy Electrical Equipment,
41,Dabur India Ltd.,DABUR,DABUR INDIA LTD.,Active,A ,1.00,INE016A01026,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Personal Products,Personal Care,
42,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,A ,2.00,INE495A01022,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Agricultural Food & other Products,Sugar,
43,"Arvind Ltd.,",ARVIND,ARVIND LTD.,Active,A ,10.00,INE034A01011,Textiles,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,
44,"Ballarpur Industries Ltd.,",BALLARPUR,BALLARPUR INDUSTRIES LTD.,Active,Z ,2.00,INE294A01037,Forest Materials,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,
45,"Bharat Heavy Electricals Ltd.,",BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A ,2.00,INE257A01026,Capital ods,Equity,Industrials,Capital ods,Electrical Equipment,Heavy Electrical Equipment,
46,Hindustan Petroleum Corporation Ltd,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE094A01015,Oil- Gas & Consumable Fuels,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,
47,IFCI Ltd.,IFCI,IFCI LTD.,Active,A ,10.00,INE039A01010,Financial Services,Equity,Financial Services,Financial Services,Finance,Financial Institution,
48,"Mahanagar Telephone Nigam Ltd.,",MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Active,A ,10.00,INE153A01019,Telecommunication,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,
49,Mangalore Refinery & Petrochemicals,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Active,A ,10.00,INE103A01014,Oil- Gas & Consumable Fuels,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,
50,Chennai Petroleum Corporation Ltd.,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE178A01016,Oil- Gas & Consumable Fuels,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,
51,Reliance Capital Limited,RELCAPITAL,RELIANCE CAPITAL LTD.,Active,B ,10.00,INE013A01015,Financial Services,Equity,Financial Services,Financial Services,Finance,Investment Company,
52,"State Bank Of India,",SBIN,STATE BANK OF INDIA,Active,A ,1.00,INE062A01020,Financial Services,Equity,Financial Services,Financial Services,Banks,Public Sector Bank,
53,"Steel Authority of India Ltd.,",SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A ,10.00,INE114A01011,Metals & Mining,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,
